Date;Berri;Brébeuf (données non disponibles);Côte-Sainte-Catherine;Maisonneuve 1;Maisonneuve 2;du Parc;Pierre-Dupuy;Rachel;Saint-Urbain (données non disponibles)
samedi 01 janv 2011;81;;5;62;110;41;0;85;
dimanche 02 janv 2011;95;;21;79;169;68;6;124;
lundi 03 janv 2011;150;;30;115;329;205;3;242;
mardi 04 janv 2011;232;;34;163;441;250;0;205;
mercredi 05 janv 2011;237;;26;168;415;250;1;184;
jeudi 06 janv 2011;252;;20;168;429;261;1;242;
vendredi 07 janv 2011;228;;19;163;390;222;1;215;
samedi 08 janv 2011;117;;5;70;145;82;0;148;
dimanche 09 janv 2011;127;;5;62;144;102;0;121;
lundi 10 janv 2011;252;;8;190;441;215;2;190;
mardi 11 janv 2011;348;;6;190;488;259;4;243;
mercredi 12 janv 2011;289;;6;199;466;237;0;249;
jeudi 13 janv 2011;309;;6;191;489;266;0;269;
vendredi 14 janv 2011;236;;2;175;464;229;3;246;
samedi 15 janv 2011;93;;0;47;139;53;1;90;
dimanche 16 janv 2011;91;;1;49;101;61;2;2
lundi 17 janv 2011;178;;2;109;322;179;1;8
mardi 18 janv 2011;310;;1;181;368;208;3;8
mercredi 19 janv 2011;269;;0;107;395;178;0;2
jeudi 20 janv 2011;296;;0;109;409;211;2;4
vendredi 21 janv 2011;182;;2;103;312;145;3;5
samedi 22 janv 2011;64;;0;44;102;50;3;0
dimanche 23 janv 2011;63;;12;31;76;35;3;0
lundi 24 janv 2011;133;;8;69;261;138;2;7
mardi 25 janv 2011;173;;8;101;325;162;2;34
mercredi 26 janv 2011;230;;2;143;336;151;0;50
jeudi 27 janv 2011;287;;4;158;423;210;3;115
vendredi 28 janv 2011;268;;5;152;431;217;1;101
samedi 29 janv 2011;82;;3;36;99;51;3;6
dimanche 30 janv 2011;84;;0;50;103;47;1;0
lundi 31 janv 2011;206;;3;97;361;181;1;7
mardi 01 févr 2011;269;;0;145;398;182;3;6
mercredi 02 févr 2011;68;;0;35;89;59;1;1
jeudi 03 févr 2011;138;;0;82;276;108;0;0
vendredi 04 févr 2011;166;;0;114;356;119;0;0
samedi 05 févr 2011;98;;0;48;178;69;0;0
dimanche 06 févr 2011;63;;1;41;76;55;1;0
lundi 07 févr 2011;174;;0;92;350;175;1;0
mardi 08 févr 2011;199;;0;74;284;118;0;0
mercredi 09 févr 2011;204;;0;106;320;107;0;0
jeudi 10 févr 2011;227;;15;123;374;142;0;0
vendredi 11 févr 2011;227;;7;138;366;155;0;85
samedi 12 févr 2011;63;;5;48;74;44;0;15
dimanche 13 févr 2011;51;;0;38;93;45;0;1
lundi 14 févr 2011;104;;0;44;241;89;0;3
mardi 15 févr 2011;165;;2;96;317;129;0;8
mercredi 16 févr 2011;245;;9;117;354;123;0;56
jeudi 17 févr 2011;274;;20;152;437;192;0;144
vendredi 18 févr 2011;305;;114;179;518;229;0;214
samedi 19 févr 2011;131;;32;85;139;48;0;96
dimanche 20 févr 2011;103;;28;78;146;55;0;128
lundi 21 févr 2011;208;;35;130;301;148;0;149
mardi 22 févr 2011;299;;60;159;358;183;1;210
mercredi 23 févr 2011;336;;91;174;388;192;1;264
jeudi 24 févr 2011;368;;108;207;455;205;0;295
vendredi 25 févr 2011;239;;37;121;274;107;0;123
samedi 26 févr 2011;128;;2;78;131;49;1;27
dimanche 27 févr 2011;97;;0;70;117;41;2;30
lundi 28 févr 2011;36;;1;60;184;77;0;10
mardi 01 mars 2011;102;;0;51;333;158;1;3
mercredi 02 mars 2011;144;;9;33;378;165;3;3
jeudi 03 mars 2011;185;;5;26;373;178;0;0
vendredi 04 mars 2011;227;;2;28;417;200;1;0
samedi 05 mars 2011;79;;0;25;100;58;0;0
dimanche 06 mars 2011;56;;0;16;26;32;0;1
lundi 07 mars 2011;21;;0;19;51;30;0;0
mardi 08 mars 2011;139;;0;84;307;115;0;20
mercredi 09 mars 2011;214;;6;119;397;155;1;45
jeudi 10 mars 2011;79;;1;32;99;41;0;1
vendredi 11 mars 2011;180;;2;91;309;82;0;0
samedi 12 mars 2011;152;;0;72;243;88;2;0
dimanche 13 mars 2011;169;;0;63;231;84;4;2
lundi 14 mars 2011;350;;9;200;661;247;3;11
mardi 15 mars 2011;533;;42;310;868;370;8;28
mercredi 16 mars 2011;312;;75;204;551;245;2;71
jeudi 17 mars 2011;612;;209;377;1 054;480;20;341
vendredi 18 mars 2011;559;;232;349;912;513;4;470
samedi 19 mars 2011;418;;184;220;562;295;0;480
dimanche 20 mars 2011;499;;204;289;749;439;0;570
lundi 21 mars 2011;255;;97;159;468;209;0;243
mardi 22 mars 2011;388;;14;233;615;298;0;321
mercredi 23 mars 2011;544;;40;316;872;511;0;523
jeudi 24 mars 2011;401;;38;253;664;363;0;432
vendredi 25 mars 2011;535;;105;338;891;490;0;551
samedi 26 mars 2011;328;;58;222;498;288;0;470
dimanche 27 mars 2011;246;;63;157;368;215;0;355
lundi 28 mars 2011;483;;175;309;840;504;0;527
mardi 29 mars 2011;764;;300;502;1 153;708;0;820
mercredi 30 mars 2011;1 034;;497;676;1 553;966;0;1 116
jeudi 31 mars 2011;1 011;;582;757;1 667;1 021;0;1 101
vendredi 01 avr 2011;755;;388;534;1 185;784;840;797
samedi 02 avr 2011;909;;392;482;1 164;645;298;1 120
dimanche 03 avr 2011;1 099;;472;540;1 213;707;471;1 425
lundi 04 avr 2011;600;;339;398;905;589;55;679
mardi 05 avr 2011;729;;423;515;1 109;689;54;831
mercredi 06 avr 2011;1 544;;820;1 015;2 196;1 211;215;1 443
jeudi 07 avr 2011;1 755;;964;1 112;2 448;1 497;349;1 725
vendredi 08 avr 2011;2 083;;997;1 357;2 679;1 548;471;2 083
samedi 09 avr 2011;1 806;;788;917;1 797;1 038;802;2 218
dimanche 10 avr 2011;1 422;;673;676;1 402;780;781;1 854
lundi 11 avr 2011;1 111;;569;693;1 533;985;102;1 139
mardi 12 avr 2011;2 882;;1 285;1 846;3 346;1 948;630;2 453
mercredi 13 avr 2011;1 090;;552;706;1 472;914;151;1 120
jeudi 14 avr 2011;2 136;;988;1 357;2 650;1 450;400;2 033
vendredi 15 avr 2011;2 146;;847;1 447;2 645;1 529;365;1 973
samedi 16 avr 2011;609;;273;387;742;404;157;742
dimanche 17 avr 2011;658;;289;443;873;465;134;794
lundi 18 avr 2011;1 747;;696;1 129;2 211;1 361;224;1 656
mardi 19 avr 2011;1 113;;1 192;1 850;3 239;1 895;762;2 554
mercredi 20 avr 2011;0;;193;318;678;398;38;530
jeudi 21 avr 2011;0;;680;1 197;2 311;1 259;150;1 582
vendredi 22 avr 2011;0;;869;1 456;2 592;1 236;1 293;2 519
samedi 23 avr 2011;0;;223;358;867;378;36;815
dimanche 24 avr 2011;0;;690;819;1 783;975;1 252;1 982
lundi 25 avr 2011;0;;1 065;1 546;3 020;1 520;1 948;3 092
mardi 26 avr 2011;0;;560;929;1 976;1 075;167;1 356
mercredi 27 avr 2011;0;;881;1 507;3 005;1 535;339;1 984
jeudi 28 avr 2011;0;;753;1 275;2 635;1 302;259;1 730
